fbGroup, lat, lon 
Western MA Noise, 42.335735, -72.671303, 2014-11-23T20:00:00-0500 
Western MA Noise, 40.7581983882, -73.9887857869, 2014-11-22T17:00:00-0500 
Western MA Noise, 42.3263404337, -72.5254933046, 2014-12-05T21:00:00-0500 
Western MA Noise, 42.335735, -72.671303, 2014-11-21T21:00:00-0500 
Western MA Noise, 42.359523869, -72.5535882957, 2014-11-23T20:00:00-0500 
Western MA Noise, 42.335735, -72.671303, 2014-11-15T20:00:00-0500 
Western MA Noise, 42.335735, -72.671303, 2014-11-23T20:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-11-06T20:00:00-0500 
Western MA Noise, 42.335735, -72.671303, 2014-11-07T20:45:00-0500 
Western MA Noise, 42.389421459, -72.5333337343, 2014-11-11T19:30:00-0500 
Western MA Noise, 42.335735, -72.671303, 2014-11-23T20:00:00-0500 
Western MA Noise, 42.1430507174, -72.2844705305, 2014-11-07T20:30:00-0500 
Western MA Noise, 42.342716, -72.595917, 2014-11-12T20:30:00-0500 
Western MA Noise, 42.378292, -72.520531, 2014-11-06T18:30:00-0500 
Western MA Noise, 42.2722544465, -72.6644498433, 2014-10-28T19:00:00-0400 
Western MA Noise, 42.335735, -72.671303, 2014-11-15T20:00:00-0500 
Western MA Noise, 42.3356, -72.6722, 2014-11-17T20:00:00-0500 
Western MA Noise, 42.3648677305, -71.1002214554, 2014-10-26T11:00:00-0400 
Western MA Noise, 42.359523869, -72.5535882957, 2014-10-24T21:00:00-0400 
Western MA Noise, 42.377365, -72.519724, 2014-10-28T19:45:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-10-28T20:05:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-11-06T20:00:00-0500 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-10-19T10:00:00-0400 
Western MA Noise, 42.337968, -72.616019, 2014-10-16T20:30:00-0400 
Western MA Noise, 33.2346868555, 130.089659805, 2014-10-11T20:00:00+0900 
Western MA Noise, 42.318277, -72.627632, 2014-10-11T21:00:00-0400 
Western MA Noise, 42.335735, -72.671303, 2014-10-10T21:00:00-0400 
Western MA Noise, 42.318277, -72.627632, 2014-10-11T21:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-10-14T20:00:00-0400 
Western MA Noise, 42.359523869, -72.5535882957, 2014-10-13T20:00:00-0400 
Western MA Noise, 42.335735, -72.671303, 2014-10-02T21:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-09-26T20:00:00-0400 
Western MA Noise, 42.359523869, -72.5535882957, 2014-10-24T21:00:00-0400 
Western MA Noise, 42.335735, -72.671303, 2014-10-10T21:00:00-0400 
Western MA Noise, 42.318277, -72.627632, 2014-09-18T21:30:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-09-11T19:30:00-0400 
Western MA Noise, 42.587939, -72.601523, 2014-09-05T18:00:00-0400 
Western MA Noise, 42.2712825404, -72.6720969378, 2014-09-11T19:30:00-0400 
Western MA Noise, 42.318277, -72.627632, 2014-09-18T21:30:00-0400 
